  
 ------------------------------------------------------------
         COND_ID           P_ID        E_RATIO        S_RATIO
        4.000000       2.000000       0.017180       0.018474
        4.000000       2.000000       0.024356       0.017473
        4.000000       2.000000       0.026039       0.018064
        4.000000       2.000000       0.028387       0.018515
        4.000000       2.000000       0.021809       0.017670
        4.000000       2.000000       0.017573       0.026695
        4.000000       2.000000       0.022316       0.018066
        4.000000       2.000000       0.019590       0.019008
        4.000000       2.000000       0.022668       0.026432
        4.000000       2.000000       0.017985       0.026608
        4.000000       2.000000       0.021332       0.027087
        4.000000       2.000000       0.018632       0.017768
        4.000000       2.000000       0.021783       0.017650
        4.000000       2.000000       0.023950       0.026299
        4.000000       2.000000       0.022429       0.018279
        4.000000       2.000000       0.021359       0.017650
        4.000000       2.000000       0.017866       0.017906
        4.000000       2.000000       0.024505       0.017690
        4.000000       2.000000       0.015445       0.026255
        4.000000       2.000000       0.008306       0.026432
        4.000000       2.000000       0.020463       0.026388
        4.000000       2.000000       0.024429       0.018064
        4.000000       2.000000       0.023878       0.026432
        4.000000       2.000000       0.025395       0.017116
        4.000000       2.000000       0.026170       0.017116
        4.000000       2.000000       0.018368       0.026123
        4.000000       2.000000       0.020004       0.019452
        4.000000       2.000000       0.019512       0.017552
        4.000000       2.000000       0.018428       0.017670
        4.000000       2.000000       0.024307       0.017116
        4.000000       2.000000       0.022750       0.018066
        4.000000       2.000000       0.018144       0.026255
        4.000000       2.000000       0.023020       0.026255
        4.000000       2.000000       0.021108       0.017454
        4.000000       2.000000       0.015599       0.017650
        4.000000       2.000000       0.017367       0.017768
        4.000000       3.000000       0.025180       0.013161
        4.000000       3.000000       0.014294       0.025414
        4.000000       3.000000       0.019725       0.012818
        4.000000       3.000000       0.020378       0.012817
        4.000000       3.000000       0.024451       0.024034
        4.000000       3.000000       0.015638       0.024032
        4.000000       3.000000       0.024589       0.025361
        4.000000       3.000000       0.027046       0.025417
        4.000000       3.000000       0.022258       0.013032
        4.000000       3.000000       0.017807       0.024032
        4.000000       3.000000       0.018828       0.025849
        4.000000       3.000000       0.023597       0.025849
        4.000000       3.000000       0.025750       0.025849
        4.000000       3.000000       0.015762       0.013075
        4.000000       3.000000       0.012670       0.012925
        4.000000       3.000000       0.008712       0.025505
        4.000000       3.000000       0.019532       0.012817
        4.000000       3.000000       0.025297       0.026576
        4.000000       3.000000       0.019498       0.025849
        4.000000       3.000000       0.023033       0.025505
        4.000000       3.000000       0.019358       0.025849
        4.000000       3.000000       0.025068       0.025706
        4.000000       3.000000       0.020341       0.025505
        4.000000       3.000000       0.023980       0.026022
        4.000000       3.000000       0.018023       0.013054
        4.000000       3.000000       0.018349       0.025414
        4.000000       3.000000       0.019114       0.025533
        4.000000       3.000000       0.020053       0.013139
        4.000000       3.000000       0.025238       0.012925
        4.000000       3.000000       0.016105       0.013075
        4.000000       3.000000       0.025921       0.025936
        4.000000       3.000000       0.033340       0.025849
        4.000000       3.000000       0.020994       0.025418
        4.000000       3.000000       0.017160       0.025414
        4.000000       3.000000       0.016132       0.025878
        4.000000       3.000000       0.016284       0.025677
        4.000000       3.000000       0.014813       0.013054
        4.000000       3.000000       0.021487       0.025361
        4.000000       3.000000       0.022927       0.013442
        4.000000       3.000000       0.023493       0.025505
        4.000000       3.000000       0.023221       0.013333
        4.000000       3.000000       0.016940       0.025677
        4.000000       3.000000       0.020759       0.025849
        4.000000       3.000000       0.024957       0.012455
        4.000000       3.000000       0.018414       0.025849
        4.000000       3.000000       0.020853       0.013161
        4.000000       3.000000       0.026971       0.012925
        4.000000       3.000000       0.025661       0.013075
        4.000000       4.000000       0.025806       0.026934
        4.000000       4.000000       0.018753       0.026754
        4.000000       4.000000       0.017902       0.013340
        4.000000       4.000000       0.019699       0.027812
        4.000000       4.000000       0.025745       0.026873
        4.000000       4.000000       0.017437       0.026273
        4.000000       4.000000       0.019300       0.013429
