conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A,org_E,org_P,org_A
1538,shoplifter,Identities,-.74210525,-.091052629,.089999996,-.52070254,-.2270115,-.16504852,-2.3499999,-.56999999,-.30000001
1539,shopper,Identities,.2200495,.13431373,.32647058,.27478045,.086206883,.12621363,.81999999,.51999998,.60000002
687,short_change,Behaviors,-.70612746,-.083823532,.026960785,-.55834377,-.15229885,-.067961141,-2.5,-.31,0
688,shout_at,Behaviors,-.43882978,.19973405,.61994678,-.27728981,.33045977,.80258906,-1.38,1.37,2.6900001
689,shove,Behaviors,-.70294118,.29068628,.55367649,-.56085318,.22701149,.48867318,-2.51,1.01,1.72
690,show_something_to,Behaviors,.32944444,.20467032,.13269231,.34504393,.20689654,-.061488647,1.1,.94,.02
2228,showy,Modifiers,-.26851851,.087873131,.53166664,-.28481802,.0028735562,.62459552,-1.41,.23,2.1400001
1540,shrew,Identities,-.34048912,-.25274724,.15298913,-.19447926,-.39080459,-.0097087091,-1.05,-1.14,.18000001
2229,shrewd,Modifiers,-.0106383,.12898935,.055585105,-.074027576,.10632182,-.087378614,-.56999999,.58999997,-.059999999
1541,shrimp,Identities,.26277778,-.61416668,-.23944445,.30991217,-.68965518,-.42718443,.95999998,-2.1800001,-1.11
1542,shrink,Identities,.34357142,.31190476,-.19166666,.31744042,.22701149,-.35922328,.99000001,1.01,-.89999998
691,shun,Behaviors,-.60675001,.071000002,-.087750003,-.50564611,.15229884,-.15210353,-2.29,.75,-.25999999
692,shush,Behaviors,-.18870193,.090144232,.082211539,-.1543287,.1005747,.11326864,-.88999999,.56999999,.56
1543,shut_in,Identities,-.21209678,-.5545699,-.55452126,-.16185693,-.62643677,-.79288024,-.92000002,-1.96,-2.24
2230,shy,Modifiers,-.1115196,-.46691176,-.60416669,-.0012546815,-.43678162,-.77022654,-.28,-1.3,-2.1700001
1544,shyster,Identities,-.5607143,.012337662,.23026316,-.21204513,-.3764368,-.37216824,-1.12,-1.09,-.94
1545,sibling,Identities,.53342104,.1718421,.28421053,.64868253,.36494252,.394822,2.3099999,1.49,1.4299999
693,sicken,Behaviors,-.70447367,.065526314,.11421052,-.62358838,.17241378,-.038834922,-2.76,.81999999,.090000004
2231,sickened,Modifiers,-.65595239,-.36850962,-.18238094,-.66373897,-.41379312,-.33656955,-2.9200001,-1.22,-.82999998
1546,sidekick,Identities,.40792078,-.0032178212,.20915842,.48808029,-.080459781,.064724945,1.67,-.059999999,.41
694,silence,Behaviors,-.25597826,.33858696,.12336957,-.18695103,.31609195,.090614915,-1.02,1.3200001,.49000001
2232,silly,Modifiers,.39293477,.067307696,.40769231,.53575909,.06609194,.58899677,1.86,.44999999,2.03
2233,simpleminded,Modifiers,-.31138614,-.49306929,-.39381188,-.19447926,-.54022986,-.54045308,-1.05,-1.66,-1.46
1547,simpleton,Identities,-.2005814,-.5163793,-.41896552,-.026348783,-.51436782,-.52427179,-.38,-1.5700001,-1.41
