Month,Day,Year,Temp
9,5,1996,73.7
9,6,1996,73.1
9,7,1996,73.8
9,8,1996,71.6
9,9,1996,71.4
9,10,1996,69.2
9,11,1996,69.3
9,12,1996,69.2
9,13,1996,57.6
9,14,1996,55.7
9,15,1996,59.6
9,16,1996,58
9,17,1996,60.3
9,18,1996,59.5
9,19,1996,59.6
9,20,1996,61.6
9,21,1996,61.9
9,22,1996,61.4
9,23,1996,59.3
9,24,1996,62.7
9,25,1996,54.4
9,26,1996,59.4
9,27,1996,68.9
9,28,1996,55.6
9,29,1996,55.4
9,30,1996,59.7
1,0            1,1996,62
1,0            2,1996,68.8
1,0            3,1996,49.9
1,0            4,1996,44.3
1,0            5,1996,49.7
1,0            6,1996,56.1
1,0            7,1996,60.1
1,0            8,1996,57
1,0            9,1996,49.7
1,0            10,1996,46
1,0            11,1996,44.9
1,0            12,1996,51.5
1,0            13,1996,61
1,0            14,1996,62.7
1,0            15,1996,57
1,0            16,1996,62.8
1,0            17,1996,63.3
1,0            18,1996,58.5
1,0            19,1996,43.2
1,0            20,1996,45.6
1,0            21,1996,54.2
1,0            22,1996,57.9
1,0            23,1996,51.8
1,0            24,1996,49.2
1,0            25,1996,51.4
1,0            26,1996,55.7
1,0            27,1996,61.4
1,0            28,1996,59.9
1,0            29,1996,51.7
1,0            30,1996,61.6
1,0            31,1996,39.6
1,1            1,1996,38.8
1,1            2,1996,32.7
1,1            3,1996,32
1,1            4,1996,39.7
1,1            5,1996,51.3
1,1            6,1996,54.8
1,1            7,1996,62.7
1,1            8,1996,41.8
1,1            9,1996,35.8
1,1            10,1996,31.1
1,1            11,1996,26.4
1,1            12,1996,25.1
1,1            13,1996,27.3
1,1            14,1996,25.9
1,1            15,1996,27.3
1,1            16,1996,38.8
1,1            17,1996,47.5
1,1            18,1996,39.8
1,1            19,1996,34
1,1            20,1996,33.4
1,1            21,1996,30.6
1,1            22,1996,30.2
1,1            23,1996,32.4
1,1            24,1996,43.9
1,1            25,1996,39.5
1,1            26,1996,31.4
1,1            27,1996,26
1,1            28,1996,28.1
1,1            29,1996,32.7
1,1            30,1996,44.4
1,2            1,1996,49.4
1,2            2,1996,33.4
1,2            3,1996,37.4
1,2            4,1996,30.7
1,2            5,1996,31.2
1,2            6,1996,34.8
1,2            7,1996,38.4
1,2            8,1996,31.1
1,2            9,1996,28.9
1,2            10,1996,38.3
1,2            11,1996,55
1,2            12,1996,43
1,2            13,1996,38.1
1,2            14,1996,35.5
1,2            15,1996,39.5
1,2            16,1996,38
1,2            17,1996,38.4
1,2            18,1996,24.7
1,2            19,1996,14
1,2            20,1996,11
1,2            21,1996,20.5
1,2            22,1996,35.5
1,2            23,1996,45.2
1,2            24,1996,35.7
1,2            25,1996,19.5
1,2            26,1996,26.4
1,2            27,1996,35.8
1,2            28,1996,53.8
1,2            29,1996,52
1,2            30,1996,37
1,2            31,1996,41.8
1,1,1997,38.9
1,2,1997,50.2
1,3,1997,56.8
1,4,1997,59.2
1,5,1997,48.5
1,6,1997,25.8
1,7,1997,21.1
1,8,1997,19.4
1,9,1997,27.8
1,10,1997,19.5
1,11,1997,2
1,12,1997,0.5
1,13,1997,-0.2
1,14,1997,6.1
1,15,1997,23.1
1,16,1997,22.3
1,17,1997,1.3
1,18,1997,3.5
1,19,1997,11.1
1,20,1997,29
1,21,1997,33.5
1,22,1997,48.5
1,23,1997,32.3
1,24,1997,30.6
1,25,1997,28.3
1,26,1997,15.5
1,27,1997,31.5
1,28,1997,25.6
1,29,1997,16.6
1,30,1997,26.2
1,31,1997,37
2,1,1997,38.5
2,2,1997,37.3
2,3,1997,36.3
2,4,1997,42.6
2,5,1997,34.3
2,6,1997,29.9
2,7,1997,29.2
2,8,1997,28.9
2,9,1997,22.5
2,10,1997,28.8
2,11,1997,28.8
2,12,1997,30.2
2,13,1997,22.3
2,14,1997,30
2,15,1997,28.1
2,16,1997,25.6
2,17,1997,26.9
2,18,1997,48.4
2,19,1997,50.8
2,20,1997,36.4
2,21,1997,60.3
2,22,1997,40.5
2,23,1997,32.1
2,24,1997,29.6
2,25,1997,27.5
2,26,1997,38.7
2,27,1997,51.9
2,28,1997,40.7
3,1,1997,56.6
3,2,1997,48.3
3,3,1997,34.6
3,4,1997,39.8
3,5,1997,45.2
3,6,1997,33
3,7,1997,30.5
3,8,1997,47.7
3,9,1997,36.8
3,10,1997,42
3,11,1997,44.4
3,12,1997,37.8
3,13,1997,36.7
3,14,1997,42.4
3,15,1997,24.3
3,16,1997,25.4
3,17,1997,39.3
3,18,1997,41.9
3,19,1997,34.8
3,20,1997,41.4
3,21,1997,51.2
3,22,1997,48.5
3,23,1997,39.3
3,24,1997,34.2
3,25,1997,52.4
3,26,1997,41.6
3,27,1997,51.6
3,28,1997,56.9
3,29,1997,51.4
3,30,1997,44.9
3,31,1997,35.4
4,1,1997,39.3
4,2,1997,47.8
4,3,1997,55.3
4,4,1997,63.2
4,5,1997,61.7
4,6,1997,66.8
4,7,1997,42.1
4,8,1997,37.8
4,9,1997,27.6
4,10,1997,33.2
4,11,1997,46.9
4,12,1997,54.2
4,13,1997,37.7
4,14,1997,38
4,15,1997,46.1
4,16,1997,50.9
